,course_title,course_URL,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
25,Business Analytics,https://www.coursera.org/specializations/business-analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,310k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Penn_BusinessAnalytics_Istock49060600.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Business Analytics by University of Pennsylvania
26,Architecting with Google Kubernetes Engine,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,Google Cloud,SPECIALIZATION,4.7,Beginner,400k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/4d/563b08f7a044349ab56cfb3219bad6/Container-Engine.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Architecting with Google Kubernetes Engine by Google Cloud
27,Finance & Quantitative Modeling for Analysts,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,290k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/28/3d88b3745e4072901d6db7fb8d2f9c/financeModeling_specialization_coursera.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Finance & Quantitative Modeling for Analysts by University of Pennsylvania
28,Developing Applications with Google Cloud Platform,https://www.coursera.org/specializations/developing-apps-gcp,Google Cloud,SPECIALIZATION,4.7,Intermediate,410k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/97/80dde0cf3911e7837e118ae0ddfe24/course-4.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Developing Applications with Google Cloud Platform by Google Cloud
29,Security in Google Cloud Platform,https://www.coursera.org/specializations/security-google-cloud-platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,400k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f4/925a00f9bc11e89f6323eb5125b878/managing-security-gcp-course-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Security in Google Cloud Platform by Google Cloud
30,Graphic Design,https://www.coursera.org/specializations/graphic-design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,470k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/5c8ca09f9b11e58b2bcd64bf4ee4c5/00.SPEC_1200-x-1200_logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Graphic Design by California Institute of the Arts
31,Networking in Google Cloud,https://www.coursera.org/specializations/networking-google-cloud-platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,400k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/81/0716c0b6c811e88cae95cc5edeac63/network-2.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Networking in Google Cloud by Google Cloud
32,Digital Product Management,https://www.coursera.org/specializations/uva-darden-digital-product-management,University of Virginia,SPECIALIZATION,4.7,Beginner,200k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2c/346438c5ab4f5b8f9e8049528dffbc/Digital-Product-Management-Logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Digital Product Management by University of Virginia
33,Data Engineering with Google Cloud,https://www.coursera.org/professional-certificates/gcp-data-engineering,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,170k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/c6c427d9244493b8074cd432eab090/DE.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Data Engineering with Google Cloud by Google Cloud
34,Become a CBRS Certified Professional Installer by Google,https://www.coursera.org/learn/google-cbrs-cpi-training,Google - Spectrum Sharing,COURSE,4.9,Mixed,None,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c9/94fb040874429db0cfa81f98e4d842/course_badge_world_revised_10x.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Become a CBRS Certified Professional Installer by Google by Google - Spectrum Sharing
35,Project Management Principles and Practices,https://www.coursera.org/specializations/project-management,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,320k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f6/824b50f34311e4b3e4d9a4acd55c54/1_iStock_000039306742_Large_Coursera.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Project Management Principles and Practices by University of California, Irvine"
36,Project Management & Other Tools for Career Development,https://www.coursera.org/specializations/project-management-success,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,560k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/55/c627235f5f48f282bae2ad68fdb3d2/Thumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Project Management & Other Tools for Career Development by University of California, Irvine"
37,Financial Markets,https://www.coursera.org/learn/financial-markets-global,Yale University,COURSE,4.8,Beginner,710k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/51d7604aba11e7ae3525d9720463e7/Shiller_FinancialMarkets_New.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Financial Markets by Yale University
38,Business and Financial Modeling,https://www.coursera.org/specializations/wharton-business-financial-modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,180k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d9/396b60b32c11e595760b3f021227e6/B_FModelingSpecializationThumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Business and Financial Modeling by University of Pennsylvania
39,Applied Data Science with Python,https://www.coursera.org/specializations/data-science-python,University of Michigan,SPECIALIZATION,4.5,Intermediate,640k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Applied Data Science with Python by University of Michigan
